sentence,title
"Whether Tempter sent, or whether tempest tossed thee here ashore,","The Raven"
"Desolate yet all undaunted, on this desert land enchanted—","The Raven"
"On this home by Horror haunted—tell me truly, I implore—","The Raven"
"Is there—is there balm in Gilead?—tell me—tell me, I implore!”","The Raven"
"Quoth the Raven “Nevermore.”","The Raven"
"“Prophet!” said I, “thing of evil!—prophet still, if bird or devil!","The Raven"
"By that Heaven that bends above us—by that God we both adore—","The Raven"
"Tell this soul with sorrow laden if, within the distant Aidenn,","The Raven"
"It shall clasp a sainted maiden whom the angels name Lenore—","The Raven"
"Clasp a rare and radiant maiden whom the angels name Lenore.”","The Raven"
"Quoth the Raven “Nevermore.”","The Raven"
"“Be that word our sign of parting, bird or fiend!” I shrieked, upstarting—","The Raven"
"“Get thee back into the tempest and the Night’s Plutonian shore!","The Raven"
"Leave no black plume as a token of that lie thy soul hath spoken!","The Raven"
"Leave my loneliness unbroken!—quit the bust above my door!","The Raven"
"Take thy beak from out my heart, and take thy form from off my door!”","The Raven"
"Quoth the Raven “Nevermore.”","The Raven"
"And the Raven, never flitting, still is sitting, still is sitting","The Raven"
"On the pallid bust of Pallas just above my chamber door;","The Raven"
"And his eyes have all the seeming of a demon’s that is dreaming,","The Raven"
"And the lamp-light o’er him streaming throws his shadow on the floor;","The Raven"
"And my soul from out that shadow that lies floating on the floor","The Raven"
"Shall be lifted—nevermore!","The Raven"
